id,identifier,species_id,maxHeight,minHeight,height,weight,base_experience,order,is_default,rarity,description
44,gloom,44,9,7,8,86,138,69,1,0,The fluid that oozes from its mouth isn't drool. It is a nectar that is used to attract prey.
45,vileplume,45,14,10,12,186,221,70,1,0,"The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up."
46,paras,46,4,2,3,54,57,72,1,0,Burrows to suck tree roots. The mushrooms on its back grow by drawing nutrients from the bug host.
47,parasect,47,11,9,10,295,142,73,1,0,A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places.
48,venonat,48,11,9,10,300,61,74,1,0,Lives in the shadows of tall trees where it eats insects. It is attracted by light at night.
49,venomoth,49,17,13,15,125,158,75,1,0,The dust-like scales covering its wings are color coded to indicate the kinds of poison it has.
50,diglett,50,3,1,2,8,53,76,1,0,Lives about one yard underground where it feeds on plant roots. It sometimes appears above ground.
51,dugtrio,51,8,6,7,333,149,78,1,0,A team of DIGLETT triplets. It triggers huge earthquakes by burrowing 60 miles underground.
52,meowth,52,5,3,4,42,58,80,1,0,Adores circular objects. Wanders the streets on a nightly basis to look for dropped loose change.
53,persian,53,11,9,10,320,154,82,1,0,"Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness."
54,psyduck,54,9,7,8,196,64,84,1,0,"While lulling its enemies with its vacant look, this wily POKeMON will use psychokinetic powers."
55,golduck,55,19,15,17,766,175,85,1,0,"Often seen swimming elegantly by lake shores. It is often mistaken for the Japanese monster, Kappa."
56,mankey,56,6,4,5,280,61,86,1,0,Extremely quick to anger. It could be docile one moment then thrashing away the next instant.
57,primeape,57,11,9,10,320,159,87,1,0,Always furious and tenacious to boot. It will not abandon chasing its quarry until it is caught.
58,growlithe,58,8,6,7,190,70,88,1,0,Very protective of its territory. It will bark and bite to repel intruders from its space.
59,arcanine,59,21,17,19,1550,194,89,1,0,A POKeMON that has been admired since the past for its beauty. It runs agilely as if on wings.
60,poliwag,60,7,5,6,124,60,90,1,0,Its newly grown legs prevent it from running. It appears to prefer swimming than trying to stand.
61,poliwhirl,61,11,9,10,200,135,91,1,0,"Capable of living in or out of water. When out of water, it sweats to keep its body slimy."
62,poliwrath,62,15,11,13,540,230,92,1,0,An adept swimmer at both the front crawl and breast stroke. Easily overtakes the best human swimmers.
63,abra,63,10,8,9,195,62,94,1,0,"Using its ability to read minds, it will identify impending danger and TELEPORT to safety."
64,kadabra,64,15,11,13,565,140,95,1,0,It emits special alpha waves from its body that induce headaches just by being close by.
65,alakazam,65,17,13,15,480,225,96,1,0,"Its brain can outperform a supercomputer. Its intelligence quotient is said to be 5,000."
66,machop,66,9,7,8,195,61,98,1,0,Loves to build its muscles. It trains in all styles of martial arts to become even stronger.
67,machoke,67,17,13,15,705,142,99,1,0,"Its muscular body is so powerful, it must wear a power save belt to be able to regulate its motions."
68,machamp,68,18,14,16,1300,227,100,1,0,"Using its heavy muscles, it throws powerful punches that can send the victim clear over the horizon."
69,bellsprout,69,8,6,7,40,60,101,1,0,A carnivorous POKeMON that traps and eats bugs. It uses its root feet to soak up needed moisture.
70,weepinbell,70,11,9,10,64,137,102,1,0,It spits out POISONPOWDER to immobilize the enemy and then finishes it with a spray of ACID.
71,victreebel,71,19,15,17,155,221,103,1,0,"Said to live in huge colonies deep in jungles, although no one has ever returned from there."
72,tentacool,72,10,8,9,455,67,104,1,0,Drifts in shallow seas. Anglers who hook them by accident are often punished by its stinging acid.
73,tentacruel,73,18,14,16,550,180,105,1,0,"The tentacles are normally kept short. On hunts, they are extended to ensnare and immobilize prey."
74,geodude,74,5,3,4,200,60,106,1,0,"Found in fields and mountains. Mistaking them for boulders, people often step or trip on them."
75,graveler,75,11,9,10,1050,137,108,1,0,Rolls down slopes to move. It rolls over any obstacle without slowing or changing its direction.
76,golem,76,16,12,14,3000,223,110,1,0,Its boulder-like body is extremely hard. It can easily withstand dynamite blasts without damage.
77,ponyta,77,11,9,10,300,82,112,1,0,Its hooves are 10 times harder than diamonds. It can trample anything completely flat in little time.
78,rapidash,78,19,15,17,950,175,113,1,0,"Very competitive, this POKeMON will chase anything that moves fast in the hopes of racing it."
79,slowpoke,79,14,10,12,360,63,114,1,0,Incredibly slow and dopey. It takes 5 seconds for it to feel pain when under attack.
80,slowbro,80,18,14,16,785,172,115,1,0,The SHELLDER that is latched onto SLOWPOKE's tail is said to feed on the host's left over scraps.
81,magnemite,81,4,2,3,60,65,118,1,0,Uses anti-gravity to stay suspended. Appears without warning and uses THUNDER WAVE and similar moves.
82,magneton,82,11,9,10,600,163,119,1,0,Formed by several MAGNEMITEs linked together. They frequently appear when sunspots flare up.
83,farfetchd,83,9,7,8,150,132,121,1,0,The sprig of green onions it holds is its weapon. It is used much like a metal sword.
84,doduo,84,16,12,14,392,62,122,1,0,A bird that makes up for its poor flying with its fast foot speed. Leaves giant footprints.
85,dodrio,85,20,16,18,852,165,123,1,0,"Uses its three brains to execute complex plans. While two heads sleep, one head stays awake."
86,seel,86,13,9,11,900,65,124,1,0,The protruding horn on its head is very hard. It is used for bashing through thick ice.
87,dewgong,87,19,15,17,1200,166,125,1,0,Stores thermal energy in its body. Swims at a steady 8 knots even in intensely cold waters.
88,grimer,88,10,8,9,300,65,126,1,0,Appears in filthy areas. Thrives by sucking up polluted sludge that is pumped out of factories.
89,muk,89,14,10,12,300,175,128,1,0,"Thickly covered with a filthy, vile sludge. It is so toxic, even its footprints contain poison."
90,shellder,90,4,2,3,40,61,130,1,0,Its hard shell repels any kind of attack. It is vulnerable only when its shell is open.
91,cloyster,91,17,13,15,1325,184,131,1,0,"When attacked, it launches its horns in quick volleys. Its innards have never been seen."
92,gastly,92,15,11,13,1,62,132,1,0,"Almost invisible, this gaseous POKeMON cloaks the target and puts it to sleep without notice."
93,haunter,93,18,14,16,1,142,133,1,0,"Because of its ability to slip through block walls, it is said to be from another dimension."
94,gengar,94,17,13,15,405,225,134,1,0,"Under a full moon, this POKeMON likes to mimic the shadows of people and laugh at their fright."
95,onix,95,97,79,88,2100,77,136,1,0,"As it grows, the stone portions of its body harden to become similar to a diamond, but colored black."
96,drowzee,96,11,9,10,324,66,139,1,0,Puts enemies to sleep then eats their dreams. Occasionally gets sick from eating bad dreams.
97,hypno,97,18,14,16,756,169,140,1,0,"When it locks eyes with an enemy, it will use a mix of PSI moves such as HYPNOSIS and CONFUSION."
98,krabby,98,5,3,4,65,65,141,1,0,"Its pincers are not only powerful weapons, they are used for balance when walking sideways."
99,kingler,99,15,11,13,600,166,142,1,0,"The large pincer has 10000 hp of crushing power. However, its huge size makes it unwieldy to use."
100,voltorb,100,6,4,5,104,66,143,1,0,"Usually found in power plants. Easily mistaken for a POKé BALL, they have zapped many people."
101,electrode,101,14,10,12,666,172,144,1,0,It stores electric energy under very high pressure. It often explodes with little or no provocation.
102,exeggcute,102,5,3,4,25,65,145,1,0,"Often mistaken for eggs. When disturbed, they quickly gather and attack in swarms."
103,exeggutor,103,22,18,20,1200,186,146,1,0,"Legend has it that on rare occasions, one of its heads will drop off and continue on as an EXEGGCUTE."
104,cubone,104,5,3,4,65,64,148,1,0,"Because it never removes its skull helmet, no one has ever seen this POKeMON's real face."
105,marowak,105,11,9,10,450,149,149,1,0,The bone it holds is its key weapon. It throws the bone skillfully like a boomerang to KO targets.
106,hitmonlee,106,17,13,15,498,159,153,1,0,"When in a hurry, its legs lengthen progressively. It runs smoothly with extra long, loping strides."
107,hitmonchan,107,16,12,14,502,159,154,1,0,"While apparently doing nothing, it fires punches in lightning fast volleys that are impossible to see."
108,lickitung,108,14,10,12,655,77,156,1,0,Its tongue can be extended like a chameleon's. It leaves a tingling sensation when it licks enemies.
109,koffing,109,7,5,6,10,68,158,1,0,"Because it stores several kinds of toxic gases in its body, it is prone to exploding without warning."
110,weezing,110,14,10,12,95,172,159,1,0,"Where two kinds of poison gases meet, 2 KOFFINGs can fuse into a WEEZING over many years."
111,rhyhorn,111,11,9,10,1150,69,160,1,0,Its massive bones are 1000 times harder than human bones. It can easily knock a trailer flying.
112,rhydon,112,21,17,19,1200,170,161,1,0,"Protected by an armor-like hide, it is capable of living in molten lava of 3,600 degrees."
113,chansey,113,13,9,11,346,395,164,1,0,A rare and elusive POKeMON that is said to bring happiness to those who manage to get it.
114,tangela,114,11,9,10,350,87,166,1,0,The whole body is swathed with wide vines that are similar to seaweed. Its vines shake as it walks.
115,kangaskhan,115,25,19,22,800,172,168,1,0,The infant rarely ventures out of its mother's protective pouch until it is 3 years old.
116,horsea,116,5,3,4,80,59,170,1,0,Known to shoot down flying bugs with precision blasts of ink from the surface of the water.
117,seadra,117,14,10,12,250,154,171,1,0,Capable of swimming backwards by rapidly flapping its wing-like pectoral fins and stout tail.
118,goldeen,118,7,5,6,150,64,173,1,0,"Its tail fin billows like an elegant ballroom dress, giving it the nickname of the Water Queen."
119,seaking,119,15,11,13,390,158,174,1,0,"In the autumn spawning season, they can be seen swimming powerfully up rivers and creeks."
120,staryu,120,9,7,8,345,68,175,1,0,An enigmatic POKeMON that can effortlessly regenerate any appendage it loses in battle.
121,starmie,121,13,9,11,800,182,176,1,0,Its central core glows with the seven colors of the rainbow. Some people value the core as a gem.
122,mr-mime,122,15,11,13,545,161,178,1,0,"If interrupted while it is miming, it will slap around the offender with its broad hands."
123,scyther,123,17,13,15,560,100,179,1,0,"With ninja-like agility and speed, it can create the illusion that there is more than one."
124,jynx,124,16,12,14,406,159,183,1,0,It seductively wiggles its hips as it walks. It can cause people to dance in unison with it.
125,electabuzz,125,13,9,11,300,172,185,1,0,"Normally found near power plants, they can wander away and cause major blackouts in cities."
126,magmar,126,15,11,13,445,173,188,1,0,Its body always burns with an orange glow that enables it to hide perfectly among flames.
127,pinsir,127,17,13,15,550,175,190,1,0,"If it fails to crush the victim in its pincers, it will swing it around and toss it hard."
128,tauros,128,16,12,14,884,172,192,1,0,"When it targets an enemy, it charges furiously while whipping its body with its long tails."
129,magikarp,129,10,8,9,100,40,193,1,0,"In the distant past, it was somewhat stronger than the horribly weak descendants that exist today."
130,gyarados,130,72,58,65,2350,189,194,1,1,"Rarely seen in the wild. Huge and vicious, it is capable of destroying entire cities in a rage."
131,lapras,131,28,22,25,2200,187,196,1,1,A POKeMON that has been overhunted almost to extinction. It can ferry people across the water.
132,ditto,132,4,2,3,40,101,197,1,0,Capable of copying an enemy's genetic code to instantly transform itself into a duplicate of the enemy.
133,eevee,133,4,2,3,65,65,198,1,0,Its genetic code is irregular. It may mutate if it is exposed to radiation from element STONEs.
134,vaporeon,134,11,9,10,290,184,199,1,0,Lives close to water. Its long tail is ridged with a fin which is often mistaken for a mermaid's.
135,jolteon,135,9,7,8,245,184,200,1,0,It accumulates negative ions in the atmosphere to blast out 10000-volt lightning bolts.
136,flareon,136,10,8,9,250,184,201,1,0,"When storing thermal energy in its body, its temperature could soar to over 1600 degrees."
137,porygon,137,9,7,8,365,79,207,1,0,A POKeMON that consists entirely of programming code. Capable of moving freely in cyberspace.
138,omanyte,138,5,3,4,75,71,210,1,1,"Although long extinct, in rare cases, it can be genetically resurrected from fossils."
139,omastar,139,11,9,10,350,173,211,1,1,A prehistoric POKeMON that died out when its heavy shell made it impossible to catch prey.
140,kabuto,140,6,4,5,115,71,212,1,1,A POKeMON that was resurrected from a fossil found in what was once the ocean floor eons ago.
141,kabutops,141,15,11,13,405,173,213,1,1,Its sleek shape is perfect for swimming. It slashes prey with its claws and drains the body fluids.
142,aerodactyl,142,20,16,18,590,180,214,1,1,"A ferocious, prehistoric POKeMON that goes for the enemy's throat with its serrated saw-like fangs."
143,snorlax,143,24,18,21,4600,189,217,1,1,"Very lazy. Just eats and sleeps. As its rotund bulk builds, it becomes steadily more slothful."
144,articuno,144,19,15,17,554,261,218,1,2,A legendary bird POKeMON that is said to appear to doomed people who are lost in icy mountains.
145,zapdos,145,18,14,16,526,261,219,1,2,A legendary bird POKeMON that is said to appear from clouds while dropping enormous lightning bolts.
146,moltres,146,22,18,20,600,261,220,1,2,Known as the legendary bird of fire. Every flap of its wings creates a dazzling flash of flames.
147,dratini,147,20,16,18,33,60,221,1,1,Long considered a mythical POKeMON until recently when a small colony was found living underwater.
148,dragonair,148,44,36,40,165,147,222,1,1,A mystical POKeMON that exudes a gentle aura. Has the ability to change climate conditions.
149,dragonite,149,25,19,22,2100,270,223,1,1,An extremely rarely seen marine POKeMON. Its intelligence is said to match that of humans.
150,mewtwo,150,22,18,20,1220,306,224,1,2,It was created by a scientist after years of horrific gene splicing and DNA engineering experiments.
151,mew,151,5,3,4,40,270,227,1,3,So rare that it is still said to be a mirage by many experts. Only a few people have seen it worldwide.
